Fine Arts,Humanities,Physical Sciences,Life Sciences,Mathematics,Q2x,Q2y,Q3x,Q3y
0 ,1.0,4.0,2.0,3.0,1.0,5.0, 2.5, 0.0, 0.0
1 ,1.0,3.0,4.0,5.0,3.0,5.0, 5.0, 0.0,-5.0
2 ,1.0,4.0,2.0,2.0,2.0,2.5, 0.0, 0.0, 0.0
3 ,2.0,4.0,5.0,4.0,4.0,0.0,-2.5, 0.0, 0.0
4 ,4.0,3.0,1.0,1.0,1.0,2.5,-2.5, 0.0, 2.5
5 ,2.0,4.0,5.0,4.0,4.0,0.0,-2.5, 0.0, 0.0
6 ,4.0,3.0,1.0,1.0,1.0,2.5,-2.5, 0.0, 2.5
7 ,3.0,4.0,1.0,2.0,1.0,5.0, 5.0,-5.0, 2.5
8 ,4.0,2.0,5.0,3.0,5.0,5.0, 5.0,-5.0,-5.0
9 ,5.0,4.0,3.0,2.0,1.0,2.5,-7.5, 2.5,-2.5
10,2.0,4.0,5.0,4.0,4.0,0.0,-2.5, 0.0, 0.0
11,5.0,4.0,3.0,2.0,1.0,2.5,-7.5, 2.5,-2.5
12,4.0,4.0,4.0,2.0,2.0,0.0,10.0, 0.0, 5.0
13,4.0,4.0,1.0,1.0,1.0,0.0,10.0, 0.0, 0.0
14,5.0,5.0,1.0,1.0,1.0,5.0,10.0,-2.5, 2.5
15,4.0,4.0,1.0,1.0,1.0,0.0,10.0, 0.0, 0.0
16,4.0,3.0,4.0,2.0,2.0,5.0, 2.5,-5.0, 0.0
17,4.0,3.0,3.0,3.0,2.0,0.0, 0.0, 0.0,-5.0
18,3.0,4.0,4.0,3.0,5.0,0.0,-7.5,-2.5, 2.5
19,5.0,4.0,3.0,2.0,1.0,2.5,-7.5, 2.5,-2.5
20,5.0,4.0,2.0,3.0,1.0,0.0,-2.5, 0.0, 2.5
21,4.0,3.0,3.0,3.0,2.0,0.0, 0.0, 0.0,-5.0
22,4.0,4.0,1.0,1.0,1.0,0.0,10.0, 0.0, 0.0
23,5.0,5.0,1.0,1.0,1.0,5.0,10.0,-2.5, 2.5
24,4.0,5.0,3.0,4.0,2.0,5.0, 0.0, 5.0, 2.5
